"age","group","sex","raw"
3.0129,3.5,1,61
3.3101,3.5,2,55
3.1854,3.5,2,69
3.3305,3.5,2,47
3.8521,3.5,2,59
3.05,3.5,1,9
3.9519,3.5,2,73
3.8384,3.5,2,68
3.9852,3.5,2,46
3.8439,3.5,1,79
3.9327,3.5,2,97
3.782,3.5,1,67
3.9986,3.5,1,86
3.8521,3.5,2,82
3.7875,3.5,1,84
3.9081,3.5,1,93
3.5446,3.5,2,47
3.0911,3.5,1,62
3.5933,3.5,2,79
3.3113,3.5,2,39
3.5446,3.5,2,47
3.1486,3.5,1,7
3.907,3.5,2,67
3.7919,3.5,1,103
3.0856,3.5,1,13
3.5687,3.5,2,90
3.9081,3.5,2,15
3.7408,3.5,2,114
3.782,3.5,1,67
3.5769,3.5,1,74
3.9081,3.5,1,93
3.5083,3.5,1,84
3.4552,3.5,1,71
3.8384,3.5,2,68
3.6484,3.5,2,31
3.5264,3.5,2,54
3.4251,3.5,2,48
3.3911,3.5,1,81
3.6796,3.5,1,44
3.05,3.5,1,9
3.8452,3.5,1,79
3.907,3.5,2,67
3.9973,3.5,2,66
3.8521,3.5,2,82
3.3512,3.5,1,69
3.8439,3.5,1,79
3.9852,3.5,2,46
3.6231,3.5,1,96
3.9136,3.5,1,52
3.4525,3.5,1,47
3.3743,3.5,2,72
3.8384,3.5,2,39
3.9327,3.5,2,97
3.9524,3.5,1,65
3.3196,3.5,2,63
3.8439,3.5,1,79
3.3977,3.5,1,83
3.9791,3.5,1,76
3.3305,3.5,2,47
3.826,3.5,1,74
3.3129,3.5,2,82
3.826,3.5,1,74
3.0403,3.5,1,72
3.514,3.5,1,79
3.4607,3.5,2,58
3.9125,3.5,2,68
3.1951,3.5,1,49
3.5769,3.5,1,74
3.3305,3.5,2,47
3.3129,3.5,2,82
3.3977,3.5,1,72
3.2636,3.5,1,43
3.6933,3.5,2,68
3.782,3.5,1,67
3.136,3.5,1,68
3.5811,3.5,1,8
3.5264,3.5,2,54
3.6231,3.5,1,96
3.6484,3.5,2,31
3.3743,3.5,2,72
3.4319,3.5,1,93
3.9645,3.5,2,94
3.0528,3.5,1,64
3.9986,3.5,1,86
3.4388,3.5,1,79
3.9081,3.5,1,93
3.0787,3.5,1,79
3.689,3.5,1,53
3.782,3.5,1,67
3.6231,3.5,1,96
3.907,3.5,2,67
3.9791,3.5,1,76
3.8017,3.5,2,76
3.5345,3.5,2,71
3.6221,3.5,1,53
3.2362,3.5,2,72
3.6933,3.5,2,68
3.8384,3.5,2,68
3.5264,3.5,2,54
3.3512,3.5,1,69
3.4251,3.5,2,48
3.6617,3.5,1,82
3.8165,3.5,1,86
3.3911,3.5,1,81
3.5164,3.5,2,75
3.3101,3.5,2,55
3.6933,3.5,2,68
3.9081,3.5,2,15
3.1459,3.5,1,78
3.5469,3.5,1,91
3.6231,3.5,1,96
3.9081,3.5,1,93
3.1771,3.5,2,57
3.8477,3.5,2,95
3.1951,3.5,1,49
3.5469,3.5,1,91
3.0528,3.5,1,64
3.9327,3.5,2,97
3.0528,3.5,1,64
3.9081,3.5,1,93
3.136,3.5,1,68
3.1486,3.5,1,7
3.1854,3.5,2,69
3.907,3.5,2,67
3.0787,3.5,1,79
3.5838,3.5,2,51
3.2691,3.5,1,60
3.05,3.5,1,9
3.907,3.5,2,67
3.1771,3.5,2,57
3.9081,3.5,2,15
3.8138,3.5,1,75
3.05,3.5,1,9
3.477,3.5,1,57
3.826,3.5,1,74
3.1459,3.5,1,78
3.9986,3.5,1,86
3.3266,3.5,1,59
3.1951,3.5,1,49
3.9327,3.5,2,97
3.0528,3.5,1,64
3.0403,3.5,1,72
3.6231,3.5,1,96
3.9055,3.5,2,74
3.7919,3.5,1,103
3.136,3.5,1,68
3.5446,3.5,2,47
3.5345,3.5,2,71
3.6617,3.5,1,82
3.6617,3.5,1,82
3.6194,3.5,1,59
3.0129,3.5,1,61
3.7875,3.5,1,84
3.9645,3.5,2,94
3.7919,3.5,1,103
3.1825,3.5,2,81
3.9344,3.5,1,33
3.477,3.5,1,57
3.5164,3.5,2,75
3.4319,3.5,1,93
3.136,3.5,1,68
3.3101,3.5,2,55
3.5576,3.5,2,69
3.1224,3.5,1,83
3.0911,3.5,1,62
3.3305,3.5,2,47
3.9973,3.5,2,66
3.2691,3.5,1,60
3.7408,3.5,2,114
3.7408,3.5,2,114
3.5164,3.5,2,75
3.6221,3.5,1,53
3.5769,3.5,1,74
3.6933,3.5,2,68
3.2636,3.5,1,43
3.1854,3.5,2,69
3.5345,3.5,2,71
3.0107,3.5,1,38
3.9069,3.5,1,85
3.3266,3.5,1,59
3.4525,3.5,1,47
